Business Name,LatLong,Street Address,Address Line 2,City,State,Zip Code,Website,Phone,Neighborhood / Region,Region,Seattle Neighborhood,Accommodations,Food & Drink,Museums & Attractions,Retail,Services,Things To Do,Transportation
A&A Limousine & Bus Service,"47.757377,-122.250943",6705 NE 175 St,,Seattle,Washington,98028,http://A-Alimo.com,(206) 365-1008,All,All,,,,,,,,Transportation
AC Bellevue,"47.612339, -122.198135",208 106th Pl NE,,Bellevue,Washington,98004,https://www.marriott.com/hotels/travel/seaar-ac-hotel-Seattle-bellevue-downtown/,(425) 625-2450,Bellevue,Bellevue,,Accommodations,,,,,,
Aerlume,"47.611076, -122.344549",2003 Western Ave Suite C,,Seattle,Washington,98121,http://www.aerlumeSeattle.com,(206) 539-2200,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,,
Agave Cocina & Cantina - Kent Station,"47.385064, -122.234729",504 Ramsay Way Suite 107,,Kent,Washington,98032,https://agaverest.com/,(253) 277-2053,Kent,Kent,,,Food &amp; Drink,,,,,
Agave Cocina & Cantina - Redmond,"47.671954, -122.111667",17158 Redmond Way Suite 180,,Redmond,Washington,98052,https://agaverest.com/,(425) 881-8252,Kent,Kent,,,Food &amp; Drink,,,,,
Agua Verde Cafe,"47.651743, -122.314311",1303 NE Boat Street,,Seattle,Washington,98105,http://Aguaverdecafe.com,(206) 545-8570,University District,Seattle,University District,,Food &amp; Drink,,,,,
Alaska Airlines,"47.443465, -122.295988",,,SeaTac,Washington,98188,http://alaskaair.com,(206) 304-0008,SeaTac,SeaTac,,,,,,,,Transportation
Alexandria Nicole Cellars,"47.733258, -122.141524",14810 NE 145th St.,,Woodinville,Washington,98072,http://www.ancwines.com,(425) 487-9463,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Alexis Hotel,"47.604887, -122.336755",1007 First Avenue,,Seattle,Washington,98104,http://www.alexishotel.com,(206) 624-4484,Downtown Seattle,Seattle,Downtown,Accommodations,,,,,,
American Seafood Co,"47.629912, -122.379628","2001 West Garfield St., Pier 90, Bldg. A-310",,Seattle,Washington,98119,http://americanseafood.com,(206) 448-0300,Queen Anne,Seattle,Queen Anne,,,,,Services,,
Anthony's Bell Street Diner,"47.611027, -122.348200",2201 Alaskan Way,,Seattle,Washington,98121,https://www.anthonys.com/restaurants/detail/anthonys-bell-street-diner,(206) 448-6688,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,,
Anthony's Fish Bar,"47.611027, -122.348200",2201 Alaskan Way,,Seattle,Washington,98121,https://www.anthonys.com/restaurants/detail/anthonys-fish-bar/,(206) 448-6688,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,,
Anthony's HomePort - Des Moines,"47.397351, -122.328586",421 S. 227th Street,,Des Moines,Washington,98198,https://www.anthonys.com/restaurants/detail/anthonys-homeport-des-moines,(206) 824-1947,Des Moines,Des Moines,,,Food &amp; Drink,,,,,
Anthony's HomePort - Kirkland,"47.674183, -122.206304",135 Lake Street South,,Kirkland,Washington,98033,https://www.anthonys.com/restaurants/detail/anthonys-homeport-kirkland,(425) 822-0225,Kirkland,Kirkland,,,Food &amp; Drink,,,,,
Antigua Guatemala Restaurant,"47.381770, -122.246275",120 Washington Ave N,,Kent,Washington,98032,http://www.antiguaguatemalarestaurant.com,(253) 236-4437,Kent,Kent,,,Food &amp; Drink,,,Services,,
AQUA by El Gaucho,"47.614936, -122.355864",2801 Alaskan Way,,Seattle,Washington,98121,https://elgaucho.com/aquabyelgaucho/,(206) 956-9171,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,,
Archer Hotel Redmond,"47.668878, -122.120617",7200 164th Ave. NE,,Redmond,Washington,98052,http://www.archerhotel.com/redmond,(425) 658-3000,Redmond,Redmond,,Accommodations,,,,,,
Archer's Kitchen + Bar,"47.668878, -122.120617",7200 164th Ave NE,,Redmond,Washington,98052,https://archerhotel.com/redmond/archer-kitchen,(425) 658-3000,Redmond,Redmond,,,Food &amp; Drink,,,,,
Armstrong Family Winery,"47.766098, -122.148458",19151 144th Ave NE,Suite I,Woodinville,Washington,98072,http://www.armstrongwinery.com,(425) 824-8494,Woodinville,Woodinville,,,Food &amp; Drink,,,,Things To Do,
Art by Fire,"47.532457, -122.036697",195 Front St N,,Issaquah,Washington,98027,https://artbyfire.com,(425) 996-8867,Issaquah,Issaquah,,,,,Retail,,Things To Do,
Banyan Tree,"47.385304, -122.234641",504 Ramsay Way Ste 105,,Kent,Washington,98032,http://www.BanyanTreeRestaurant.com,(253) 981-6333,Kent,Kent,,,Food &amp; Drink,,,,,
Barrio Mexican Kitchen & Bar,"47.613661, -122.316674",1420 12th Avenue,,Seattle,Washington,98122,https://www.barriorestaurant.com,(206) 588-8105,Capitol Hill,Seattle,Capitol Hill,,Food &amp; Drink,,,,,
Be Good Event Photography,"47.674047, -122.121519",,,Redmond,Washington,98052,http://www.begoodeventphotography.com,(425) 802-1469,Redmond,Redmond,,,,,,Services,,
Bell Harbor International Conference Center,"47.611401, -122.348932","2211 Alaskan Way, Pier 66",,Seattle,Washington,98121,http://www.bellharbor.com,(206) 441-6666,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,,
Belltown Inn,"47.614645, -122.345139",2301 3rd Ave,,Seattle,Washington,98121,http://www.belltown-inn.com,(206) 529-3700,Belltown,Seattle,Belltown,Accommodations,,,,,,
Ben Paris,"47.609367, -122.339287",130 Pike Street,,Seattle,Washington,98101,http://www.benparis.com,(206) 513-7303,All,Seattle,Downtown,,Food &amp; Drink,,,,,
Beneath The Streets,"47.602852, -122.334150",102 Cherry Street,,Seattle,Washington,98104,http://www.Beneath-The-Streets.com,(206) 624-1237,Pioneer Square,Seattle,Pioneer Square,,,Museums &amp; Attractions,,,Things To Do,
Best Western Plus Plaza by the Green,"47.382519, -122.262421",24415 Russell Road,,Kent,Washington,98032,http://www.bwplazabythegreen.com,(253) 854-8767,Kent,Kent,,Accommodations,,,,,,
Best Western Seattle Airport Hotel,"47.416151, -122.297811",20717 International Boulevard,,SeaTac,Washington,98198,http://www.bwSeattleairport.com,(206) 878-3300,SeaTac,SeaTac,,Accommodations,,,,,,
Block 41,"47.613735, -122.345862",115 Bell Street,,Seattle,Washington,98121,http://www.block41.com,(206) 347-0541,Belltown,Seattle,Belltown,,,Museums &amp; Attractions,,,,
Bon Vivant Wine Tours,"47.674047, -122.121519",,,Redmond,Washington,98053,http://www.BonVivantTours.com,(206) 524-8687,All,All,,,Food &amp; Drink,,,,Things To Do,Transportation
Boon Boona Coffee,"47.479799, -122.206944",724 S 3rd Street,Ste C,Renton,Washington,98146,http://www.boonboonacoffee.com,(206) 631-1118,Renton,Renton,,,Food &amp; Drink,,Retail,Services,Things To Do,
Bosk Brew Works,"47.768594, -122.149146",14350 NE 193rd Pl,,Woodinville,Washington,98072,http://www.boskbrewworks.com,(425) 419-4782,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
"British Motor Coach, Inc","47.978943, -122.201978",,,Seattle,Washington,98108,http://www.bmclimo.com,(206) 283-6600,South Park,Seattle,South Park,,Food &amp; Drink,,,,,Transportation
Cafe Campagne,"47.609749, -122.341510",1600 Post Alley,,Seattle,Washington,98101,http://www.cafecampagne.com,(206) 728-2233,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,,,,
Caffe Appassionato Coffee Roasting Company,"47.656105, -122.383865",4001 21st Avenue West,,Seattle,Washington,98199,http://www.caffeappassionato.com,(206) 281-8040,All,Seattle,,,Food &amp; Drink,,Retail,,Things To Do,
Candere Cruising,"47.647395, -122.340810",1341 N. Northlake Way,,Seattle,Washington,98103,http://www.canderecruising.com,(206) 300-9012,Fremont,Seattle,Fremont,,,,,,Things To Do,
Canlis,"47.643117, -122.346838",2576 Aurora Ave N,,Seattle,Washington,98109,http://canlis.com,(206) 283-3313,Queen Anne,Seattle,Queen Anne,,Food &amp; Drink,,,,,
Capri Cellars,"47.529037, -122.035209",88 Front Street S,,Issaquah,Washington,98027,http://www.capricellars.com,(425) 369-4289,Issaquah,Issaquah,,,Food &amp; Drink,,Retail,,,
Cedarbrook Lodge,"47.437245, -122.287753",18525 36th Avenue South,,SeaTac,Washington,98188,http://www.cedarbrooklodge.com,(206) 901-9268,SeaTac,SeaTac,,Accommodations,,,,,,
"Certified Folder Display Service, Inc.","47.443465, -122.295988",,,SeaTac,Washington,98198,http://www.certifiedfolder.com,(206) 870-2470,SeaTac,SeaTac,,,,,,Services,,
Chateau Ste. Michelle,"47.729941, -122.149292",14111 NE 145th Street,,Woodinville,Washington,98072,http://www.ste-michelle.com,(425) 415-3633,Woodinville,Woodinville,,,Food &amp; Drink,,Retail,,Things To Do,
Chihuly Garden and Glass,"47.620605, -122.350461",305 Harrison Street,,Seattle,Washington,98109,http://www.chihulygardenandglass.com,(206) 905-2100,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,Museums &amp; Attractions,Retail,,Things To Do,
Chinook's at Salmon Bay,"47.655450, -122.381453",1900 W. Nickerson St.,Suite 103,Seattle,Washington,98119,https://www.anthonys.com/restaurants/detail/chinook-at-salmon-bay,(206) 283-4665,Ballard,Seattle,Ballard,,Food &amp; Drink,,,,,
Clipper,"47.613792, -122.354026","2701 Alaskan Way, Pier 69",,Seattle,Washington,98121,http://clippervacations.com,(800) 888-2535,Waterfront,Seattle,Waterfront,,,,,,,Transportation
Coast Gateway Hotel,"47.437880, -122.296646",18415 International Blvd,,SeaTac,Washington,98188,http://www.coasthotels.com,(206) 248-8200,SeaTac,SeaTac,,Accommodations,,,,,,
Columbia Tower Club,"47.604788, -122.330753","701 Fifth Avenue, Suite 7500",,Seattle,Washington,98104,https://www.clubcorp.com/Clubs/Columbia-Tower-Club/,(206) 386-5183,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,,,,
Comfort Inn,"47.429165, -122.296321",19333 International Blvd,,SeaTac,Washington,98188,http://www.choicehotels.com,(206) 878-1100,SeaTac,SeaTac,,Accommodations,,,,,,
Copperleaf Restaurant,"47.437360, -122.287674",18525 36th Avenue South,,SeaTac,Washington,98188,http://www.cedarbrooklodge.com/copperleaf-restaurant.php,(206) 214-4282,SeaTac,SeaTac,,,Food &amp; Drink,,,,,
Country Inn and Suites Seattle Airport,"47.431553, -122.294290",3100 S. 192nd St.,,SeaTac,Washington,98188,http://www.countryinn.com/Seattle-airport,(206) 433-8188,SeaTac,SeaTac,,Accommodations,,,,,,
Courtyard by Marriott Seattle-Kirkland,"47.710969, -122.191319",11215 NE 124th St,,Kirkland,Washington,98034,http://www.marriott.com/seatc,(425) 602-3200,Kirkland,Kirkland,,Accommodations,Food &amp; Drink,,,,,
"Crossbeam Investments, LLP","47.598751, -122.331985",401 2nd Ave S,Suite 200,Seattle,Washington,98104,https://www.crossbeaminvestments.com/,(206) 622-7833,Pioneer Square,Seattle,Pioneer Square,,,,,Services,,
Crowne Plaza Seattle Airport,"47.447108, -122.295412",17338 International Blvd.,,SeaTac,Washington,98188,http://cpSeattleairport.com,(206) 248-1000,Shoreline,SeaTac,,Accommodations,Food &amp; Drink,,,,,
Cruise Planners - Beverly Notte,"47.530021, -122.032568",,,Issaquah,Washington,98027,http://www.bellanottetravel.com,(650) 787-3845,Issaquah,Issaquah,,,,,,Services,,
Customized Tours & Charters,"47.401810, -122.324398",,,Des Moines,Washington,98198,http://www.toursofSeattle.com,(206) 878-3965,Des Moines,Des Moines,,,,,,,Things To Do,Transportation
Cutters Crabhouse,"47.610692, -122.344122",2001 Western Ave,,Seattle,Washington,98121,http://www.cutterscrabhouse.com,(206) 448-4884,Belltown,Seattle,Belltown,,Food &amp; Drink,,,,,
DeLille Cellars,"47.734681, -122.149262","14300 NE 145th St., Suite 101",,Woodinville,Washington,98072,https://www.delillecellars.com/,(425) 489-0544,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Derby Restaurant,"47.582862, -122.326792",2233 6th Ave S,,Seattle,Washington,98134,https://theshopclubs.com/Seattle/derby/,(206) 736-9966,SoDo,Seattle,SoDo,,Food &amp; Drink,,,,,
Descendant Cellars,"47.763604, -122.149863",18732 142nd Ave NE,,Woodinville,Washington,98072,http://www.descendantcellars.com,(425) 301-5339,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Diane's Market Kitchen LLC,"47.605271, -122.337774",1101 Post Ave,,Seattle,Washington,98101,http://www.dianesmarketkitchen.com,(206) 624-6114,All,Seattle,Waterfront,,Food &amp; Drink,,,,Things To Do,
"Division Road, Inc.","47.597270, -122.333934",536 1st Ave S,,Seattle,Washington,98104,https://divisionroadinc.com/,(206) 755-0215,Pioneer Square,Seattle,Pioneer Square,,,,Retail,,,
Dock & Drink,"47.503302, -122.205549",1053 Lake Washington Blvd N,,Renton,Washington,98056,https://waterstable.com/dock-drink/,(425) 207-2240,Renton,Renton,,,Food &amp; Drink,,,Services,,
DoubleTree by Hilton Seattle Airport,"47.435665, -122.294169",18740 International Blvd,,SeaTac,Washington,98188,http://Seattleairport.doubletree.com,(206) 246-8600,SeaTac,SeaTac,,Accommodations,,,,,,
DoubleTree Suites Seattle Airport Southcenter,"47.454375, -122.260481",16500 Southcenter Parkway,,Tukwila,Washington,98188,http://Seattle.doubletree.com,(206) 575-8220,Tukwila,Tukwila,,Accommodations,,,,,,
Duwamish Tribal Services,"47.560871, -122.352009",4705 W Marginal Way SW,,Seatte,Washington,98106,https://www.duwamishtribe.org/,(206) 431-1582,All,Seattle,West Seattle,,,Museums &amp; Attractions,,,,
Eat Seattle,"47.606336, -122.332033",,,Seattle,Washington,98101,https://eatSeattletours.com/,(206) 631-9413,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,,,Things To Do,
Edlen Electrical Exhibition Services,"47.549787, -122.330128",5931 4th Ave S,,Seattle,Washington,98108,http://www.edlen.com,(206) 781-2411,Georgetown,Seattle,Georgetown,,,,,Services,,
El Gaucho Bellevue,"47.614562, -122.196266",450 108th Ave NE,,Bellevue,Washington,98004,https://elgaucho.com/Bellevue/,(425) 455-2715,Bellevue,Bellevue,,,Food &amp; Drink,,,,,
El Gaucho Seattle,"47.612488, -122.346131",2200 Western Ave.,,Seattle,Washington,98121,http://www.elgaucho.com/Seattle/,(206) 728-1337,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,,,,
Elevation Cellars,"47.768774, -122.149856",19495 144th Ave NE,A130,Woodinville,Washington,98072,http://elevationcellars.com,(425) 483-2800,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Embassy Suites by Hilton Seattle Tacoma International Airport,"47.460259, -122.243727",15920 West Valley Highway,,Tukwila,Washington,98010,http://www.Seattletacoma.embassysuites.com,(425) 227-8844,Tukwila,Tukwila,,Accommodations,Food &amp; Drink,,,,,
Embassy Suites Seattle Downtown Pioneer Square,"47.598096, -122.330929",255 S King St,,Seattle,Washington,98104,http://embassysuitesSeattle.com,(206) 859-4420,Pioneer Square,Seattle,Pioneer Square,Accommodations,Food &amp; Drink,,,,,
Evergreen City Ballet,"47.460059, -122.223239","2230 Lind Ave SW, Suite 109",,Renton,Washington,98057,http://www.evergreencityballet.org,(425) 228-6800,Renton,Renton,,,,,,,Things To Do,
Fairmont Olympic Hotel,"47.608148, -122.334006",411 University St,,Seattle,Washington,98101,http://www.fairmont.com/Seattle,(206) 621-1700,Downtown Seattle,Seattle,Downtown,Accommodations,,,,,,
Fastsigns of Federal Way,"47.309320, -122.312504",32610 Pacific Highway S.,Suite B-4,Federal Way,Washington,98003,http://fastsigns.com/370,(253) 835-9450,Federal Way,Federal Way,,,,,,Services,,
Fat Shack,"47.601877, -122.334777",88 Yesler way,,Seattle,Washington,98104,http://Www.fatshack.com,(360) 682-1139,Pioneer Square,Seattle,Pioneer Square,,Food &amp; Drink,,,,,
Fern Exposition Services,"47.489775, -122.276041",12610 Interurban Avenue S. #120,,Tukwila,Washington,98168,http://www.fernexpo.com,(206) 431-1010,Tukwila,Tukwila,,,,,,Services,,
Fiasco,"47.648880, -122.342216",3400 Stone Way North,,Seattle,Washington,98103,https://fiascoSeattle.com,(206) 737-8743,Wallingford,Seattle,Wallingford,,Food &amp; Drink,,,,,
Fog Room Lounge,"47.610975, -122.340122",1610 2nd Ave,,Seattle,Washington,98101,http://www.fogroomSeattle.com,(206) 256-7525,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,,,,
Forgeron Cellars,"47.730658, -122.139297",14344 Woodinville-Redmond Rd NE,,Redmond,Washington,98052,http://www.forgeroncellars.com,(425) 242-8872,Redmond,Redmond,,,Food &amp; Drink,,,,,
Four Seasons Hotel Seattle,"47.607614, -122.339152",99 Union Street,,Seattle,Washington,98101,https://www.fourseasons.com/Seattle/,(206) 749-7000,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,,,,
Fran's Chocolates,"47.607688, -122.339226",1325 1st Avenue,,Seattle,Washington,98101,http://frans.com,(206) 682-0168,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,Retail,,,
Fremont Brewing,"47.649085, -122.344432",1050 N 34th St,,Seattle,Washington,98103,http://www.fremontbrewing.com,(206) 420-2407,Fremont,Seattle,Fremont,,Food &amp; Drink,,,,,
Fremont Chamber of Commerce,"47.650377, -122.348760",720 N 35th Street,,Seattle,Washington,98103,http://www.fremont.com,(206) 632-1500,Fremont,Seattle,Fremont,,,,,Services,,
Frolik Kitchen + Cocktails,"47.610013, -122.335489",1415 5th Avenue,,Seattle,Washington,98101,https://www.destinationhotels.com/frolik-Seattle,(206) 971-8015,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,,,,
Frye Art Museum,"47.606880, -122.324224",704 Terry Ave,,Seattle,Washington,98104,http://fryemuseum.org,(206) 622-9250,Capitol Hill,Seattle,Capitol Hill,,,Museums &amp; Attractions,,,,
Gourmondo Co,"47.581219, -122.322145",2415 Airport Way S,,Seattle,Washington,98134,http://www.gourmondoco.com,(206) 587-0190,SoDo,Seattle,SoDo,,Food &amp; Drink,,,,,
Graduate Seattle,"47.661843, -122.314571",4507 Brooklyn Ave NE,,Seattle,Washington,98105,http://graduateSeattle.com,(206) 618-6347,University District,Seattle,University District,Accommodations,Food &amp; Drink,,,,,
Grand Hyatt Seattle,"47.612388, -122.333261",721 Pine Street,,Seattle,Washington,98101,http://www.grandSeattle.hyatt.com,(206) 774-1234,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,Retail,Services,,
Half Lion Public House,"47.380875, -122.262547",2019 W Meeker Street,,Kent,Washington,98032,http://halflion.com,(253) 277-0685,Kent,Kent,,,Food &amp; Drink,,,,,
Hampton Inn & Suites Seattle/Redmond,"47.674364, -122.102756",17770 NE 78th Place,,Redmond,Washington,98052,https://www.hilton.com/en/hotels/searehx-hampton-suites-Seattle-redmond/,(425) 553-1200,Redmond,Redmond,,Accommodations,,,,,,
Hearth,"47.675705, -122.203664",220 Kirkland Avenue,,Kirkland,Washington,98033,https://www.hearthkirkland.com/,(425) 284-5900,Kirkland,Kirkland,,,Food &amp; Drink,,,,,
Hilton Garden Inn Bellevue,"47.619255, -122.196982",10777 NE 10th Street,,Bellevue,Washington,98003,https://www.hilton.com/en/book/reservation/rooms/?arrival=2020-08-10,(206) 510-9811,Bellevue,Bellevue,,Accommodations,,,,,,
Hilton Garden Inn Seattle Downtown,"47.616367, -122.332066",1821 Boren Ave,,Seattle,Washington,98101,http://www.Seattledowntown.hgi.com,(206) 467-7770,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,,,,
Hilton Garden Inn Seattle Renton,"47.463238, -122.219431",1801 E Valley Road,,Renton,Washington,98057,http://www.SeattleRenton.hgi.com,(425) 430-1414,Renton,Renton,,Accommodations,Food &amp; Drink,,,,,
Hilton Seattle,"47.609379, -122.333197",1301 6th Avenue,,Seattle,Washington,98101,http://www.thehiltonseattle.com/,(206) 695-6036,Downtown Seattle,Seattle,Downtown,Accommodations,,,,,,
Hilton Seattle Airport & Conference Center,"47.444785, -122.295511",17620 International Blvd,,SeaTac,Washington,98188,http://Seattleairport.hilton.com,(206) 244-4800,SeaTac,SeaTac,,Accommodations,,,,,,
Home2 Suites by Hilton Seattle Airport,"47.448231, -122.256549",380 Upland Drive,,Tukwila,Washington,98188,https://www.hilton.com/en/hotels/seaukht-home2-suites-Seattle-airport/,(206) 623-7300,Tukwila,Tukwila,,Accommodations,,,,,,
Homewood Suites by Hilton Convention Center/Pike Street,"47.612939, -122.329732",1011 Pike Street,,Seattle,Washington,98101,http://www.homewoodsuitesSeattle.com,(206) 682-8282,Downtown Seattle,Seattle,Downtown,Accommodations,,,,,,
Hood Famous Cafe + Bar,"47.598044, -122.327541",504 5th Ave S. Suite 107A,,Seattle,Washington,98104,http://www.hoodfamousbakeshop.com,(206) 485-7049,Chinatown-International District,Seattle,International District,,Food &amp; Drink,,Retail,,,
Hosts Seattle,"47.616356, -122.035573",,,Sammamish,Washington,98075,http://www.hostsSeattle.com,(206) 451-5556,All,All,,,,,,Services,,
Hotel FIVE,"47.615495, -122.341820",2200 Fifth Ave,,Seattle,Washington,98121,https://www.staypineapple.com/hotel-five-Seattle-wa,(206) 441-9785,Belltown,Seattle,Belltown,Accommodations,,,,,,
Hotel Interurban,"47.457335, -122.251616",223 Andover Park E,,Tukwila,Washington,98188,http://www.hotelinterurban.com,(206) 278-7800,Tukwila,Tukwila,,Accommodations,,,,,,
Hotel Nexus,"47.709155, -122.332285",2140 N Northgate Way,,Seattle,Washington,98133,http://hotelnexusSeattle.com,(206) 365-0700,Greenlake,Seattle,Greenlake,Accommodations,,,,,,
Hotel One One Six,"47.616351, -122.186176",625 116th Ave NE,,Bellevue,Washington,98004,https://www.coasthotels.com/hotels/washington/hotel-116-a-coast-hotel-bellevue/,(425) 455-9444,Bellevue,Bellevue,,Accommodations,,,,,,
Hotel Sorrento,"47.608971, -122.326802",900 Madison Street,,Seattle,Washington,98104,http://www.hotelsorrento.com,(206) 622-6400,Capitol Hill,Seattle,Capitol Hill,Accommodations,Food &amp; Drink,,,,,
Hotel Theodore,"47.612428, -122.334343",1531 7th Avenue,,Seattle,Washington,98101,http://www.hoteltheodore.com,(206) 621-1200,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,,,,
Howard/Mandville Gallery,"47.769389, -122.150537",19501 144th Ave NE B400,,Woodinville,Washington,98072,http://www.howardmandville.com,(425) 486-8500,Woodinville,Woodinville,,,,Museums &amp; Attractions,Retail,,,
Hyatt at Olive 8,"47.613823, -122.334187",1635 8th Avenue,,Seattle,Washington,98101,http://www.olive8.hyatt.com,(206) 695-1234,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,Retail,Services,,
HYATT house Seattle/Redmond,"47.673506, -122.130370",15785 Bear Creek Parkway,,Redmond,Washington,98052,http://www.hyatthouseredmond.com,(425) 497-2000,Redmond,Redmond,,Accommodations,,,,,,
Hyatt Regency Bellevue,"47.618111, -122.200996",900 Bellevue Way NE,,Bellevue,Washington,98004,http://bellevue.regency.hyatt.com,(425) 462-1234,Bellevue,Bellevue,,Accommodations,,,,,,
Hyatt Regency Lake Washington,"47.503309, -122.204776",1053 Lake Washington Blvd. N,,Renton,Washington,98056,https://www.hyatt.com/en-US/hotel/washington/hyatt-regency-lake-washington-at-Seattles-southport/searl,(425) 203-1234,Renton,Renton,,Accommodations,Food &amp; Drink,,,Services,,
Hyatt Regency Seattle,"47.614573, -122.333923",808 Howell Street,,Seattle,Washington,98101,http://www.hyattregencySeattle.com,(206) 973-1234,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,Retail,Services,,
Inn at the Market,"47.609637, -122.341426",86 Pine Street,,Seattle,Washington,98101,http://www.innatthemarket.com/,(206) 443-3600,Downtown Seattle,Seattle,Downtown,Accommodations,,,,,,
Ivar's,"47.604029, -122.338979","Pier 54, Suite 109",,Seattle,Washington,98104,http://www.Ivars.com,(206) 587-6500,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,Things To Do,
Jimmy's on Broadway,"47.611502, -122.320569",1100 Broadway,,Seattle,Washington,98122,http://www.jimmysonbroadway.com,(206) 204-1188,Capitol Hill,Seattle,Capitol Hill,,Food &amp; Drink,,,,,
JLL Meetings & Events,"47.606336, -122.332033",,,Seattle,Washington,98199,http://JLLMeetings.com,(206) 352-8888,All,All,,,,,,Services,,
Kidd Valley,"47.604308, -122.339190","Pier 54, Suite 109",,Seattle,Washington,98104,http://www.KiddValley.com,(206) 587-2500,Waterfront,Seattle,Waterfront,,Food &amp; Drink,,,,Things To Do,
Kimpton Palladian Hotel,"47.612048, -122.341664",2000 2nd Avenue,,Seattle,Washington,98121,http://www.palladianhotel.com,(206) 448-1111,Belltown,Seattle,Belltown,Accommodations,Food &amp; Drink,,,,,
KJ's Cakery Bakery Sweet Shop,"47.382617, -122.230594",204 Central Avenue North #102,,Kent,Washington,98032,http://www.kjscakerybakery.com,(253) 277-2516,Kent,Kent,,,Food &amp; Drink,,,,,
Landmark Event Staffing Services Inc,"47.978943, -122.201978",,,Everett,Washington,98201,http://www.landmarkeventstaff.com,(970) 481-1398,Downtown Seattle,Seattle,Downtown,,,,,Services,,
